  NO     TB   C1    K1   C2    K2   F
 555    936    1   960    0     0   0
 556    968    1   992    0     0   0
 557   1000    1  1024    0     0   0
 558   1032    1  1056    0     0   0
 559   1064    1  1088    0     0   0
 560    936    1   960    0     0   0
 561    968    1   992    0     0   0
 562   1000    1  1024    0     0   0
 563   1064    1  1088    0     0   0
 564   1096    1  1120    0     0   0
 565   1160    1  1184    0     0   0
 566   1192    1  1216    0     0   0
 567   1256    1  1280    0     0   0
 568   1288    1  1312    0     0   0
 569   1320    1  1344    0     0   0
 570   1224    1  1248    0     0   0
 571   1256    1  1280    0     0   0
 572   1320    1  1344    0     0   0
 573   1384    1  1408    0     0   0
 574   1416    1  1440    0     0   0
 575   1480    1  1504    0     0   0
 576   1544    1  1568    0     0   0
 577   1608    1  1632    0     0   0
 578   1672    1  1696    0     0   0
 579   1736    1  1760    0     0   0
 580   1480    1  1504    0     0   0
 581   1544    1  1568    0     0   0
 582   1608    1  1632    0     0   0
 583   1736    1  1760    0     0   0
 584   1800    1  1824    0     0   0
 585   1864    1  1888    0     0   0
 586   1928    1  1952    0     0   0
 587   1992    1  2016    0     0   0
 588   2088    1  2112    0     0   0
 589   2152    1  2176    0     0   0
 590   1864    1  1888    0     0   0
 591   1928    1  1952    0     0   0
 592   2024    1  2048    0     0   0
 593   2088    1  2112    0     0   0
 594   2216    1  2240    0     0   0
 595   2280    1  2304    0     0   0
 596   2344    1  2368    0     0   0
 597   2472    1  2496    0     0   0
 598   2536    1  2560    0     0   0
 599   2664    1  2688    0     0   0
 600   2216    1  2240    0     0   0
 601   2280    1  2304    0     0   0
 602   2408    1  2432    0     0   0
 603   2472    1  2496    0     0   0
 604   2600    1  2624    0     0   0
 605   2728    1  2752    0     0   0
 606   2792    1  2816    0     0   0
 607   2984    1  3008    0     0   0
 608   2984    1  3008    0     0   0
 609   3112    1  3136    0     0   0
 610   2536    1  2560    0     0   0
 611   2664    1  2688    0     0   0
 612   2792    1  2816    0     0   0
 613   2984    1  3008    0     0   0
 614   3112    1  3136    0     0   0
 615   3240    1  3264    0     0   0
 616   3368    1  3392    0     0   0
 617   3368    1  3392    0     0   0
 618   3496    1  3520    0     0   0
 619   3624    1  3648    0     0   0
 620   2984    1  3008    0     0   0
 621   3112    1  3136    0     0   0
 622   3240    1  3264    0     0   0
 623   3368    1  3392    0     0   0
 624   3496    1  3520    0     0   0
 625   3624    1  3648    0     0   0
 626   3752    1  3776    0     0   0
 627   3880    1  3904    0     0   0
 628   4008    1  4032    0     0   0
 629   4264    1  4288    0     0   0
 630   3368    1  3392    0     0   0
 631   3496    1  3520    0     0   0
 632   3624    1  3648    0     0   0
 633   3752    1  3776    0     0   0
 634   4008    1  4032    0     0   0
 635   4136    1  4160    0     0   0
 636   4264    1  4288    0     0   0
 637   4392    1  4416    0     0   0
 638   4584    1  4608    0     0   0
 639   4776    1  4800    0     0   0
 640   3752    1  3776    0     0   0
 641   3880    1  3904    0     0   0
 642   4008    1  4032    0     0   0
 643   4264    1  4288    0     0   0
 644   4392    1  4416    0     0   0
 645   4584    1  4608    0     0   0
 646   4776    1  4800    0     0   0
 647   4968    1  4992    0     0   0
 648   5160    1  5184    0     0   0
 649   5352    1  5376    0     0   0
 650   4264    1  4288    0     0   0
 651   4392    1  4416    0     0   0
 652   4584    1  4608    0     0   0
 653   4776    1  4800    0     0   0
 654   4968    1  4992    0     0   0
 655   5352    1  5376    0     0   0
 656   5544    1  5568    0     0   0
 657   5736    1  5760    0     0   0
 658   5992    1  6016    0     0   0
 659   5992    1  6016    0     0   0
 660   4776    1  4800    0     0   0
 661   4968    1  4992    0     0   0
 662   5352    1  5376    0     0   0
 663   5544    1  5568    0     0   0
 664   5736    1  5760    0     0   0
 665   5992    1  6016    0     0   0
 666   6200    2  3136    0  3072   0
 667   6456    2  3264    0  3200   0
 668   6712    2  3392    0  3328   0
 669   6712    2  3392    0  3328   0
 670   5352    1  5376    0     0   0
 671   5736    1  5760    0     0   0
 672   5992    1  6016    0     0   0
 673   6200    2  3136    0  3072   0
 674   6456    2  3264    0  3200   0
 675   6712    2  3392    0  3328   0
 676   6968    2  3520    0  3456   0
 677   7224    2  3648    0  3584   0
 678   7480    2  3776    0  3712   0
 679   7736    2  3904    0  3840   0
 680   5992    1  6016    0     0   0
 681   6200    2  3136    0  3072   0
 682   6456    2  3264    0  3200   0
 683   6968    2  3520    0  3456   0
 684   7224    2  3648    0  3584   0
 685   7480    2  3776    0  3712   0
 686   7736    2  3904    0  3840   0
 687   7992    2  4032    0  3968   0
 688   8248    2  4160    0  4096   0
 689   8504    2  4288    0  4224   0
 690   6456    2  3264    0  3200   0
 691   6712    2  3392    0  3328   0
 692   6968    2  3520    0  3456   0
 693   7224    2  3648    0  3584   0
 694   7736    2  3904    0  3840   0
 695   7992    2  4032    0  3968   0
 696   8248    2  4160    0  4096   0
 697   8504    2  4288    0  4224   0
 698   8760    2  4416    0  4352   0
 699   9144    2  4608    0  4544   0
 700   6712    2  3392    0  3328   0
 701   7224    2  3648    0  3584   0
 702   7480    2  3776    0  3712   0
 703   7736    2  3904    0  3840   0
 704   7992    2  4032    0  3968   0
 705   8504    2  4288    0  4224   0
 706   8760    2  4416    0  4352   0
 707   9144    2  4608    0  4544   0
 708   9528    2  4800    0  4736   0
 709   9912    2  4992    0  4928   0
 710   7480    2  3776    0  3712   0
 711   7992    2  4032    0  3968   0
 712   8248    2  4160    0  4096   0
 713   8760    2  4416    0  4352   0
 714   9144    2  4608    0  4544   0
 715   9528    2  4800    0  4736   0
 716   9912    2  4992    0  4928   0
 717  10296    2  5184    0  5120   0
 718  10296    2  5184    0  5120   0
 719  10680    2  5376    0  5312   0
 720   8248    2  4160    0  4096   0
 721   8760    2  4416    0  4352   0
 722   9144    2  4608    0  4544   0
 723   9528    2  4800    0  4736   0
 724   9912    2  4992    0  4928   0
 725  10296    2  5184    0  5120   0
 726  10680    2  5376    0  5312   0
 727  11064    2  5568    0  5504   0
 728  11448    2  5760    0  5696   0
 729  11832    2  5952    0  5888   0
 730   9144    2  4608    0  4544   0
 731   9528    2  4800    0  4736   0
 732   9912    2  4992    0  4928   0
 733  10296    2  5184    0  5120   0
 734  10680    2  5376    0  5312   0
 735  11064    2  5568    0  5504   0
 736  11448    2  5760    0  5696   0
 737  12216    2  6144    0  6080   0
 738  12576    3  4224    0  4160   0
 739  12960    3  4352    0  4288   0
 740   9912    2  4992    0  4928   0
 741  10296    2  5184    0  5120   0
 742  10680    2  5376    0  5312   0
 743  11064    2  5568    0  5504   0
 744  11448    2  5760    0  5696   0
 745  12216    2  6144    0  6080   0
 746  12576    3  4224    0  4160   0
 747  12960    3  4352    0  4288   0
 748  13536    3  4544    0  4480   0
 749  14112    3  4736    0  4672   0
 750  10680    2  5376    0  5312   0
 751  11064    2  5568    0  5504   0
 752  11448    2  5760    0  5696   0
 753  12216    2  6144    0  6080   0
 754  12576    3  4224    0  4160   0
 755  12960    3  4352    0  4288   0
 756  13536    3  4544    0  4480   0
 757  14112    3  4736    0  4672   0
 758  14688    3  4928    0  4864   0
 759  15264    3  5120    0  5056   0
 760  11448    2  5760    0  5696   0
 761  11832    2  5952    0  5888   0
 762  12576    3  4224    0  4160   0
 763  12960    3  4352    0  4288   0
 764  13536    3  4544    0  4480   0
 765  14112    3  4736    0  4672   0
 766  14688    3  4928    0  4864   0
 767  15264    3  5120    0  5056   0
 768  15840    3  5312    0  5248   0
 769  16416    3  5504    0  5440   0
 770  12216    2  6144    0  6080   0
 771  12576    3  4224    0  4160   0
 772  12960    3  4352    0  4288   0
 773  13536    3  4544    0  4480   0
 774  14112    3  4736    0  4672   0
 775  14688    3  4928    0  4864   0
 776  15264    3  5120    0  5056   0
 777  15840    3  5312    0  5248   0
 778  16416    3  5504    0  5440   0
 779  16992    3  5696    0  5632   0
 780  12960    3  4352    0  4288   0
 781  13536    3  4544    0  4480   0
 782  14112    3  4736    0  4672   0
 783  14688    3  4928    0  4864   0
 784  15264    3  5120    0  5056   0
 785  15840    3  5312    0  5248   0
 786  16416    3  5504    0  5440   0
 787  16992    3  5696    0  5632   0
 788  17568    3  5888    0  5824   0
 789  18336    3  6144    0  6080   0
 790  13536    3  4544    0  4480   0
